t1,ch1,t2,ch2
-35.99856,3.359655532836914,-35.998559875,-0.004981842041015625
-35.798568,3.349701919555664,-35.798567875,-0.00996368408203125
-35.598576,3.349701919555664,-35.598575875,-0.004981842041015625
-35.398584,3.349701919555664,-35.398583875,-0.014945526123046875
-35.198592,3.349701919555664,-35.198591875,-0.004981842041015625
-34.9986,3.354678726196289,-34.998599875000004,-0.004981842041015625
-34.798608,3.359655532836914,-34.798607875,-0.004981842041015625
-34.598616,3.354678726196289,-34.598615875,-0.004981842041015625
-34.398624,3.349701919555664,-34.398623875,-0.004981842041015625
-34.198632,3.354678726196289,-34.198631875000004,-0.004981842041015625
-33.99864,3.354678726196289,-33.998639875,-0.004981842041015625
-33.798648,3.349701919555664,-33.798647875,-0.00996368408203125
-33.598656,3.354678726196289,-33.598655875,0.004981842041015625
-33.398664000000004,3.354678726196289,-33.398663875000004,-0.004981842041015625
-33.198672,3.354678726196289,-33.198671875,0.004981842041015625
-32.99868,3.354678726196289,-32.998679875,-0.004981842041015625
-32.798688,3.359655532836914,-32.798687875,-0.004981842041015625
-32.598696000000004,3.359655532836914,-32.598695875000004,0.0
-32.398704,3.354678726196289,-32.398703875,-0.004981842041015625
-32.198712,3.354678726196289,-32.198711875,-0.004981842041015625
-31.99872,3.354678726196289,-31.998719875,-0.004981842041015625
-31.798728,3.354678726196289,-31.798727875,-0.004981842041015625
-31.598736,3.354678726196289,-31.598735875,0.004981842041015625
-31.398744,3.354678726196289,-31.398743875,-0.004981842041015625
-31.198752,3.349701919555664,-31.198751875,0.0
-30.99876,3.359655532836914,-30.998759875,-0.004981842041015625
-30.798768,3.354678726196289,-30.798767875,0.004981842041015625
-30.598776,3.354678726196289,-30.598775875,0.004981842041015625
-30.398784,3.359655532836914,-30.398783875,0.0
-30.198792,3.349701919555664,-30.198791875,-0.00996368408203125
-29.9988,3.354678726196289,-29.998799875,0.0
-29.798808,3.354678726196289,-29.798807875,0.0
-29.598816,3.354678726196289,-29.598815875,0.0
-29.398824,3.349701919555664,-29.398823875,-0.00996368408203125
-29.198832,3.354678726196289,-29.198831875,-0.004981842041015625
-28.99884,3.354678726196289,-28.998839875,-0.004981842041015625
-28.798848,3.359655532836914,-28.798847875,0.00996368408203125
-28.598856,3.354678726196289,-28.598855875,0.004981842041015625
-28.398864,3.349701919555664,-28.398863875,0.0
-28.198872,3.349701919555664,-28.198871875000002,0.0
-27.99888,3.349701919555664,-27.998879875,0.004981842041015625
-27.798888,3.349701919555664,-27.798887875000002,-0.004981842041015625
